DateKey,Date,Day,DaySuffix,Weekday,WeekDayName,WeekDayName_Short,WeekDayName_FirstLetter,DOWInMonth,DayOfYear,WeekOfMonth,WeekOfYear,Month,MonthName,MonthName_Short,MonthName_FirstLetter,Quarter,QuarterName,Year,MMYYYY,MonthYear,IsWeekend,IsHoliday,HolidayName,SpecialDays,FinancialYear,FinancialQuater,FinancialMonth,FirstDateofYear,LastDateofYear,FirstDateofQuater,LastDateofQuater,FirstDateofMonth,LastDateofMonth,FirstDateofWeek,LastDateofWeek,CurrentYear,CurrentQuater,CurrentMonth,CurrentWeek,CurrentDay
20131001,2013-10-01,1,st,3,Tuesday,TUE,T,1,274,1,40,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-09-29,2013-10-05,-9,-33,-100,-438,-3065
20131002,2013-10-02,2,nd,4,Wednesday,WED,W,2,275,1,40,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-09-29,2013-10-05,-9,-33,-100,-438,-3064
20131003,2013-10-03,3,rd,5,Thursday,THU,T,3,276,1,40,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-09-29,2013-10-05,-9,-33,-100,-438,-3063
20131004,2013-10-04,4,th,6,Friday,FRI,F,4,277,1,40,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-09-29,2013-10-05,-9,-33,-100,-438,-3062
20131005,2013-10-05,5,th,7,Saturday,SAT,S,5,278,1,40,10,October,OCT,O,4,fourth,2013,102013,2013OCT,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-09-29,2013-10-05,-9,-33,-100,-438,-3061
20131006,2013-10-06,6,th,1,Sunday,SUN,S,6,279,2,41,10,October,OCT,O,4,fourth,2013,102013,2013OCT,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-06,2013-10-12,-9,-33,-100,-437,-3060
20131007,2013-10-07,7,th,2,Monday,MON,M,7,280,2,41,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-06,2013-10-12,-9,-33,-100,-437,-3059
20131008,2013-10-08,8,th,3,Tuesday,TUE,T,8,281,2,41,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-06,2013-10-12,-9,-33,-100,-437,-3058
20131009,2013-10-09,9,th,4,Wednesday,WED,W,9,282,2,41,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-06,2013-10-12,-9,-33,-100,-437,-3057
20131010,2013-10-10,10,th,5,Thursday,THU,T,10,283,2,41,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-06,2013-10-12,-9,-33,-100,-437,-3056
20131011,2013-10-11,11,th,6,Friday,FRI,F,11,284,2,41,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-06,2013-10-12,-9,-33,-100,-437,-3055
20131012,2013-10-12,12,th,7,Saturday,SAT,S,12,285,2,41,10,October,OCT,O,4,fourth,2013,102013,2013OCT,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-06,2013-10-12,-9,-33,-100,-437,-3054
20131013,2013-10-13,13,th,1,Sunday,SUN,S,13,286,3,42,10,October,OCT,O,4,fourth,2013,102013,2013OCT,True,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-13,2013-10-19,-9,-33,-100,-436,-3053
20131014,2013-10-14,14,th,2,Monday,MON,M,14,287,3,42,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-13,2013-10-19,-9,-33,-100,-436,-3052
20131015,2013-10-15,15,th,3,Tuesday,TUE,T,15,288,3,42,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-13,2013-10-19,-9,-33,-100,-436,-3051
20131016,2013-10-16,16,th,4,Wednesday,WED,W,16,289,3,42,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-13,2013-10-19,-9,-33,-100,-436,-3050
20131017,2013-10-17,17,th,5,Thursday,THU,T,17,290,3,42,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-13,2013-10-19,-9,-33,-100,-436,-3049
20131018,2013-10-18,18,th,6,Friday,FRI,F,18,291,3,42,10,October,OCT,O,4,fourth,2013,102013,2013OCT,False,False,,,,,,2013-01-01,2013-12-31,2022-01-01,2022-03-31,2013-10-01,2013-10-31,2013-10-13,2013-10-19,-9,-33,-100,-436,-3048
