ID,State
1,Abia
2,Abidjan
3,Abruzzi
4,Abuja Capital Territory
5,Aceh
6,Acre
7,Ad Dawhah
8,Adamaoua
9,Adamawa
10,Adana
11,Adiyaman
12,Afyonkarahisar
13,Aichi
14,'Ajman
15,Aksaray
16,Akwa Ibom
17,Al Asimah
18,Al Bahr Al Ahmar
19,Al Basrah
20,Al Buhayrah
21,Al Fayyum
22,Al Gharbiyah
23,Al Hudaydah
24,Al Iskandariyah
25,Al Jawf
26,Al Madinah
27,Al Marqab
28,Al Minufiyah
29,Al Minya
30,Al Qadisiyah
31,Al Qahirah
32,Alabama
33,Alagoas
34,Alajuela
35,Alberta
36,Alger
37,Alibori
38,Almaty
39,Almaty City
40,Alsace-Champagne-Ardenne-Lorraine
41,Amapá
42,Amasya
43,Amazonas
44,'Amman
45,Amur
46,Analamanga
47,Anambra
48,Ancash
49,Andalusía
50,Andhra Pradesh
51,Andijan
52,Anhui
53,Ankara
54,Annaba
55,Anseba
56,Antalya
57,Antioquia
58,Antofagasta
59,Antwerp
60,Anzoátegui
61,Aomori
62,Apulia
63,Aqmola
64,Aquitaine-Limousin-Poitou-Charentes
65,Ar Raqqah
66,Ar Riyad
67,Arad
68,Aragua
69,Arauca
70,Arbil
71,Ardabil
72,Ardahan
73,Arequipa
74,Arges
75,Arica y Parinacota
76,Arizona
77,Arkansas
78,Arkhangel'sk
79,Artemisa
80,Artibonite
81,Arusha
82,Ash Sharqiyah
83,Ashanti
84,Ashgabat
85,'Asir
86,Assam
87,Astana
88,Astrakhan'
89,Asturias
90,Asunción
91,Aswan
92,Asyut
93,Atacama
94,Atakora
95,Atlántico
96,Atlántida
97,Atlantique
98,Atsimo-Andrefana
99,Atsinanana
100,Attica
101,Auckland
102,Australian Capital Territory
103,Auvergne-Rhône-Alpes
104,Aveiro
105,Ayacucho
106,Aydin
107,Azuay
108,Babil
109,Bacau
110,Baden-Württemberg
111,Baghdad
112,Bahia
113,Baja California
114,Baja California Sur
115,Baki
116,Balearic Islands
117,Bali
118,Balikesir
119,Balti
120,Baluchistan
121,Bamako
122,Banaadir
123,Bandundu
124,Banghazi
125,Bangkok
126,Bangui
127,Bani Suwayf
128,Banská Bystrica
129,Barahona
130,Bas-Congo
131,Basel-Stadt
132,Bashkortostan
133,Basilicata
134,Basque Country
135,Batman
136,Batna
137,Bauchi
138,Bavaria
139,Bay of Plenty
140,Bechar
141,Beijing
142,Beirut
143,Bejaia
144,Bekes
145,Belgorod
146,Bengkulu
147,Benguela
148,Benguet
149,Beni
150,Benue
151,Berlin
152,Bern
153,Bie
154,Bihar
155,Bihor
156,Bingol
157,Biobio
158,Bishkek
159,Bissau
160,Bistrita-Nasaud
161,Bitola
162,Boeny
163,Bogota
164,Bolivar
165,Bolívar
166,Bolu
167,Borgou
168,Borno
169,Botosani
170,Bourgogne-Franche-Comté
171,Boyacá
172,Braga
173,Braila
174,Brandenburg
175,Brasov
176,Bremen
177,Brest
178,British Columbia
179,Brittany
180,Brussels
181,Bryansk
182,Budapest
183,Buenos Aires
184,Bujumbura-Mairie
185,Bukidnon
186,Bulacan
187,Bulawayo
188,Bur Sa'id
189,Burgas
190,Bursa
191,Busan
192,Bushehr
193,Buskerud
194,Buzau
195,Cabo Delgado
196,Cajamarca
197,Calabria
198,Caldas
199,California
200,Callao
201,Camagüey
202,Campania
203,Campeche
204,Canakkale
205,Canelones
206,Cantabria
207,Canterbury
208,Caquetá
209,Carabobo
210,Caras-Severin
211,Carinthia
212,Casanare
213,Castile and León
214,Castile-La Mancha
215,Catalonia
216,Catamarca
217,Cavite
218,Cayo District
219,Ceará
220,Central
221,Central Equatoria
222,Central Jutland
223,Central Serbia
224,Centrale
225,Centre
226,Centre-Val de Loire
227,Cesar
228,Ceuta
229,Chaco
230,Chaguanas
231,Chandigarh
232,Chaouia-Ouardigha
233,Chelyabinsk
234,Cherkasy
235,Chernihiv
236,Chhattisgarh
237,Chiapas
238,Chiba
239,Chihuahua
240,Chimaltenango
241,Chinandega
242,Chiriquí
243,Chisinau
244,Chittagong
245,Chocó
246,Choluteca
247,Chongqing
248,Chubut
249,Chukha
250,Chuquisaca
251,Cidade De Maputo
252,Ciego de Ávila
253,Cienfuegos
254,Cluj
255,Coahuila
256,Cochabamba
257,Coimbra
258,Cojedes
259,Colima
260,Colón
261,Colorado
262,Connecticut
263,Constanta
264,Constantine
265,Copperbelt
266,Córdoba
267,Cork
268,Corrientes
269,Corsica
270,Cortés
271,Corum
272,Cross River
273,Cundinamarca
274,Cuscatlán
275,Dà Nang
276,Daegu
277,Daejeon
278,Dagestan
279,Dakar
280,Dar Es Salaam
281,Dayr Az Zawr
282,Delaware
283,Delhi
284,Delta
285,Denizli
286,Dhaka
287,Dhi Qar
288,Diana
289,Diffa
290,Dire Dawa
291,District of Columbia
292,Distrito Capital
293,Distrito Federal
294,Diyala
295,Diyarbakir
296,Djelfa
297,Djibouti
298,Dnipropetrovs'k
299,Dolj
300,Donetsk
301,Donga
302,Doukkala-Abda
303,Drenthe
304,Duarte
305,Dublin
306,Durango
307,Durrës
308,Düzce
309,East Flanders
310,Eastern
311,Eastern Cape
312,Ebonyi
313,Edirne
314,Edo
315,Elazig
316,Elbasan
317,Emilia-Romagna
318,England
319,Entre Ríos
320,Enugu
321,Equateur
322,Erzurum
323,Escuintla
324,Esfahan
325,Eskisehir
326,Espaillat
327,Espírito Santo
328,Est
329,Estelí
330,Estuaire
331,Extremadura
332,Extreme-Nord
333,F.C.T.
334,Fars
335,Federal District
336,Federation of Bosnia and Herzegovina
337,Fès-Boulemane
338,Finland Proper
339,Flemish Brabant
340,Florida
341,Francisco Morazán
342,Französisch-Guayana
343,Free State
344,Friesland
345,Friuli-Venezia Giulia
346,Fujian
347,Fukui
348,Fukuoka
349,Galati
350,Galicia
351,Galway
352,Gangwon
353,Gansu
354,Gauteng
355,Gaziantep
356,Gelderland
357,Geneva
358,Georgia
359,Gezira
360,Gharb-Chrarda-Béni Hssen
361,Gilan
362,Gisborne
363,Giurgiu
364,Gôh-Djiboua
365,Goiás
366,Golestan
367,Gombe
368,Gorj
369,Grad Zagreb
370,Granada
371,Grand Casablanca
372,Grand Gedeh
373,Granma
374,Greater Accra
375,Greater Poland
376,Groningen
377,Guadeloupe
378,Guanajuato
379,Guangdong
380,Guangxi
381,Guantánamo
382,Guárico
383,Guatemala
384,Guayas
